# Nmap 6.01 scan initiated Tue Apr 16 09:39:29 2013 as: /usr/local/bin/nmap -oN 192.168.0.0_24.nmap.txt -vvv --reason -T4 -sV --script=banner -O -sU -sS -p U:623,624,69,161,162,5900,5901,623,624,69,161,162,5900,5901,1900,1278,1279,2606,2607,4995,1188,T:22,23,80,161,162,443,623,5900,5901,8080,22,23,80,161,162,443,623,5900,5901,8080,555,4988,5120,5123,50000,8889,17990,1278,1279,2606,2607,3269,3668,3669,5869,5981,8192,1188,3002,3389,9300,17988,17990,5120 -v 192.168.0.0/24
Nmap scan report for 192.168.0.0 [host down, received no-response]
Nmap scan report for 192.168.0.45 [host down, received no-response]
Nmap scan report for 192.168.0.47 [host down, received no-response]
Nmap scan report for 192.168.0.48 [host down, received no-response]
Nmap scan report for 192.168.0.49 [host down, received no-response]
Nmap scan report for 192.168.0.50 [host down, received no-response]
Nmap scan report for 192.168.0.51 [host down, received no-response]
Nmap scan report for 192.168.0.52 [host down, received no-response]
Nmap scan report for 192.168.0.53 [host down, received no-response]
Nmap scan report for 192.168.0.54 [host down, received no-response]
Nmap scan report for 192.168.0.56 [host down, received no-response]
Nmap scan report for 192.168.0.57 [host down, received no-response]
Nmap scan report for 192.168.0.58 [host down, received no-response]
Nmap scan report for 192.168.0.59 [host down, received no-response]
Nmap scan report for 192.168.0.60 [host down, received no-response]
Nmap scan report for 192.168.0.61 [host down, received no-response]
Nmap scan report for 192.168.0.62 [host down, received no-response]
Nmap scan report for 192.168.0.63 [host down, received no-response]
Nmap scan report for 192.168.0.64 [host down, received no-response]
Nmap scan report for 192.168.0.65 [host down, received no-response]
Nmap scan report for 192.168.0.66 [host down, received no-response]
Nmap scan report for 192.168.0.67 [host down, received no-response]
Nmap scan report for 192.168.0.68 [host down, received no-response]
Nmap scan report for 192.168.0.70 [host down, received no-response]
Nmap scan report for 192.168.0.71 [host down, received no-response]
Nmap scan report for 192.168.0.72 [host down, received no-response]
Nmap scan report for 192.168.0.73 [host down, received no-response]
Nmap scan report for 192.168.0.74 [host down, received no-response]
Nmap scan report for 192.168.0.75 [host down, received no-response]
Nmap scan report for 192.168.0.76 [host down, received no-response]
Nmap scan report for 192.168.0.77 [host down, received no-response]
Nmap scan report for 192.168.0.78 [host down, received no-response]
Nmap scan report for 192.168.0.79 [host down, received no-response]
Nmap scan report for 192.168.0.80 [host down, received no-response]
Nmap scan report for 192.168.0.81 [host down, received no-response]
Nmap scan report for 192.168.0.82 [host down, received no-response]
Nmap scan report for 192.168.0.83 [host down, received no-response]
Nmap scan report for 192.168.0.84 [host down, received no-response]
Nmap scan report for 192.168.0.85 [host down, received no-response]
Nmap scan report for 192.168.0.86 [host down, received no-response]
Nmap scan report for 192.168.0.87 [host down, received no-response]
Nmap scan report for 192.168.0.89 [host down, received no-response]
Nmap scan report for 192.168.0.90 [host down, received no-response]
Nmap scan report for 192.168.0.91 [host down, received no-response]
Nmap scan report for 192.168.0.92 [host down, received no-response]
Nmap scan report for 192.168.0.93 [host down, received no-response]
Nmap scan report for 192.168.0.94 [host down, received no-response]
Nmap scan report for 192.168.0.95 [host down, received no-response]
Nmap scan report for 192.168.0.96 [host down, received no-response]
Nmap scan report for 192.168.0.97 [host down, received no-response]
Nmap scan report for 192.168.0.98 [host down, received no-response]
Nmap scan report for 192.168.0.99 [host down, received no-response]
Nmap scan report for 192.168.0.100 [host down, received no-response]
Nmap scan report for 192.168.0.101 [host down, received no-response]
Nmap scan report for 192.168.0.102 [host down, received no-response]
Nmap scan report for 192.168.0.103 [host down, received no-response]
Nmap scan report for 192.168.0.104 [host down, received no-response]
Nmap scan report for 192.168.0.105 [host down, received no-response]
Nmap scan report for 192.168.0.106 [host down, received no-response]
Nmap scan report for 192.168.0.107 [host down, received no-response]
Nmap scan report for 192.168.0.108 [host down, received no-response]
Nmap scan report for 192.168.0.109 [host down, received no-response]
Nmap scan report for 192.168.0.110 [host down, received no-response]
Nmap scan report for 192.168.0.111 [host down, received no-response]
Nmap scan report for 192.168.0.112 [host down, received no-response]
Nmap scan report for 192.168.0.113 [host down, received no-response]
Nmap scan report for 192.168.0.114 [host down, received no-response]
Nmap scan report for 192.168.0.115 [host down, received no-response]
Nmap scan report for 192.168.0.116 [host down, received no-response]
Nmap scan report for 192.168.0.117 [host down, received no-response]
Nmap scan report for 192.168.0.118 [host down, received no-response]
Nmap scan report for 192.168.0.119 [host down, received no-response]
Nmap scan report for 192.168.0.120 [host down, received no-response]
Nmap scan report for 192.168.0.121 [host down, received no-response]
Nmap scan report for 192.168.0.122 [host down, received no-response]
Nmap scan report for 192.168.0.123 [host down, received no-response]
Nmap scan report for 192.168.0.124 [host down, received no-response]
Nmap scan report for 192.168.0.125 [host down, received no-response]
Nmap scan report for 192.168.0.126 [host down, received no-response]
Nmap scan report for 192.168.0.127 [host down, received no-response]
Nmap scan report for 192.168.0.128 [host down, received no-response]
Nmap scan report for 192.168.0.129 [host down, received no-response]
Nmap scan report for 192.168.0.130 [host down, received no-response]
Nmap scan report for 192.168.0.131 [host down, received no-response]
Nmap scan report for 192.168.0.133 [host down, received no-response]
Nmap scan report for 192.168.0.134 [host down, received no-response]
Nmap scan report for 192.168.0.135 [host down, received no-response]
Nmap scan report for 192.168.0.136 [host down, received no-response]
Nmap scan report for 192.168.0.137 [host down, received no-response]
Nmap scan report for 192.168.0.138 [host down, received no-response]
Nmap scan report for 192.168.0.139 [host down, received no-response]
Nmap scan report for 192.168.0.140 [host down, received no-response]
Nmap scan report for 192.168.0.141 [host down, received no-response]
Nmap scan report for 192.168.0.142 [host down, received no-response]
Nmap scan report for 192.168.0.143 [host down, received no-response]
Nmap scan report for 192.168.0.144 [host down, received no-response]
Nmap scan report for 192.168.0.145 [host down, received no-response]
Nmap scan report for 192.168.0.146 [host down, received no-response]
Nmap scan report for 192.168.0.147 [host down, received no-response]
Nmap scan report for 192.168.0.148 [host down, received no-response]
Nmap scan report for 192.168.0.149 [host down, received no-response]
Nmap scan report for 192.168.0.150 [host down, received no-response]
Nmap scan report for 192.168.0.151 [host down, received no-response]
Nmap scan report for 192.168.0.152 [host down, received no-response]
Nmap scan report for 192.168.0.153 [host down, received no-response]
Nmap scan report for 192.168.0.154 [host down, received no-response]
Nmap scan report for 192.168.0.155 [host down, received no-response]
Nmap scan report for 192.168.0.156 [host down, received no-response]
Nmap scan report for 192.168.0.157 [host down, received no-response]
Nmap scan report for 192.168.0.158 [host down, received no-response]
Nmap scan report for 192.168.0.159 [host down, received no-response]
Nmap scan report for 192.168.0.160 [host down, received no-response]
Nmap scan report for 192.168.0.161 [host down, received no-response]
Nmap scan report for 192.168.0.162 [host down, received no-response]
Nmap scan report for 192.168.0.163 [host down, received no-response]
Nmap scan report for 192.168.0.164 [host down, received no-response]
Nmap scan report for 192.168.0.165 [host down, received no-response]
Nmap scan report for 192.168.0.166 [host down, received no-response]
Nmap scan report for 192.168.0.167 [host down, received no-response]
Nmap scan report for 192.168.0.168 [host down, received no-response]
Nmap scan report for 192.168.0.169 [host down, received no-response]
Nmap scan report for 192.168.0.170 [host down, received no-response]
Nmap scan report for 192.168.0.171 [host down, received no-response]
Nmap scan report for 192.168.0.172 [host down, received no-response]
Nmap scan report for 192.168.0.173 [host down, received no-response]
Nmap scan report for 192.168.0.174 [host down, received no-response]
Nmap scan report for 192.168.0.175 [host down, received no-response]
Nmap scan report for 192.168.0.176 [host down, received no-response]
Nmap scan report for 192.168.0.177 [host down, received no-response]
Nmap scan report for 192.168.0.178 [host down, received no-response]
Nmap scan report for 192.168.0.180 [host down, received no-response]
Nmap scan report for 192.168.0.181 [host down, received no-response]
Nmap scan report for 192.168.0.182 [host down, received no-response]
Nmap scan report for 192.168.0.183 [host down, received no-response]
Nmap scan report for 192.168.0.184 [host down, received no-response]
Nmap scan report for 192.168.0.185 [host down, received no-response]
Nmap scan report for 192.168.0.186 [host down, received no-response]
Nmap scan report for 192.168.0.187 [host down, received no-response]
Nmap scan report for 192.168.0.188 [host down, received no-response]
Nmap scan report for 192.168.0.190 [host down, received no-response]
Nmap scan report for 192.168.0.191 [host down, received no-response]
Nmap scan report for 192.168.0.192 [host down, received no-response]
Nmap scan report for 192.168.0.193 [host down, received no-response]
Nmap scan report for 192.168.0.194 [host down, received no-response]
Nmap scan report for 192.168.0.195 [host down, received no-response]
Nmap scan report for 192.168.0.196 [host down, received no-response]
Nmap scan report for 192.168.0.197 [host down, received no-response]
Nmap scan report for 192.168.0.198 [host down, received no-response]
Nmap scan report for 192.168.0.199 [host down, received no-response]
Nmap scan report for 192.168.0.200 [host down, received no-response]
Nmap scan report for 192.168.0.201 [host down, received no-response]
Nmap scan report for 192.168.0.203 [host down, received no-response]
Nmap scan report for 192.168.0.204 [host down, received no-response]
Nmap scan report for 192.168.0.205 [host down, received no-response]
Nmap scan report for 192.168.0.206 [host down, received no-response]
Nmap scan report for 192.168.0.207 [host down, received no-response]
Nmap scan report for 192.168.0.208 [host down, received no-response]
Nmap scan report for 192.168.0.209 [host down, received no-response]
Nmap scan report for 192.168.0.210 [host down, received no-response]
Nmap scan report for 192.168.0.211 [host down, received no-response]
Nmap scan report for 192.168.0.212 [host down, received no-response]
Nmap scan report for 192.168.0.213 [host down, received no-response]
Nmap scan report for 192.168.0.214 [host down, received no-response]
Nmap scan report for 192.168.0.215 [host down, received no-response]
Nmap scan report for 192.168.0.216 [host down, received no-response]
Nmap scan report for 192.168.0.217 [host down, received no-response]
Nmap scan report for 192.168.0.218 [host down, received no-response]
Nmap scan report for 192.168.0.219 [host down, received no-response]
Nmap scan report for 192.168.0.220 [host down, received no-response]
Nmap scan report for 192.168.0.221 [host down, received no-response]
Nmap scan report for 192.168.0.222 [host down, received no-response]
Nmap scan report for 192.168.0.223 [host down, received no-response]
Nmap scan report for 192.168.0.224 [host down, received no-response]
Nmap scan report for 192.168.0.225 [host down, received no-response]
Nmap scan report for 192.168.0.226 [host down, received no-response]
Nmap scan report for 192.168.0.227 [host down, received no-response]
Nmap scan report for 192.168.0.228 [host down, received no-response]
Nmap scan report for 192.168.0.229 [host down, received no-response]
Nmap scan report for 192.168.0.230 [host down, received no-response]
Nmap scan report for 192.168.0.231 [host down, received no-response]
Nmap scan report for 192.168.0.232 [host down, received no-response]
Nmap scan report for 192.168.0.233 [host down, received no-response]
Nmap scan report for 192.168.0.234 [host down, received no-response]
Nmap scan report for 192.168.0.235 [host down, received no-response]
Nmap scan report for 192.168.0.236 [host down, received no-response]
Nmap scan report for 192.168.0.237 [host down, received no-response]
Nmap scan report for 192.168.0.238 [host down, received no-response]
Nmap scan report for 192.168.0.239 [host down, received no-response]
Nmap scan report for 192.168.0.240 [host down, received no-response]
Nmap scan report for 192.168.0.241 [host down, received no-response]
Nmap scan report for 192.168.0.242 [host down, received no-response]
Nmap scan report for 192.168.0.243 [host down, received no-response]
Nmap scan report for 192.168.0.244 [host down, received no-response]
Nmap scan report for 192.168.0.245 [host down, received no-response]
Nmap scan report for 192.168.0.246 [host down, received no-response]
Nmap scan report for 192.168.0.247 [host down, received no-response]
Nmap scan report for 192.168.0.248 [host down, received no-response]
Nmap scan report for 192.168.0.249 [host down, received no-response]
Warning: 192.168.0.8 giving up on port because retransmission cap hit (6).
Nmap scan report for 192.168.0.1
Host is up, received arp-response (0.0014s latency).
Scanned at 2013-04-16 09:39:29 PDT for 241s
PORT      STATE         SERVICE          REASON       VERSION
22/tcp    closed        ssh              reset
23/tcp    open          telnet           syn-ack      BusyBox telnetd
|_banner: \xFF\xFD\x01\xFF\xFD!\xFF\xFB\x01\xFF\xFB\x03
80/tcp    open          http             syn-ack      i3 micro or Linksys SPA400 VoIP gateway http config
161/tcp   closed        snmp             reset
162/tcp   closed        snmptrap         reset
443/tcp   open          ssl/http         syn-ack      thttpd
555/tcp   closed        dsf              reset
623/tcp   closed        oob-ws-http      reset
1188/tcp  closed        hp-webadmin      reset
1278/tcp  closed        unknown          reset
1279/tcp  closed        dellwebadmin-2   reset
2606/tcp  closed        netmon           reset
2607/tcp  closed        connection       reset
3002/tcp  closed        exlm-agent       reset
3269/tcp  closed        globalcatLDAPssl reset
3389/tcp  closed        ms-wbt-server    reset
3668/tcp  closed        unknown          reset
3669/tcp  closed        casanswmgmt      reset
4988/tcp  closed        unknown          reset
5120/tcp  closed        unknown          reset
5123/tcp  closed        unknown          reset
5869/tcp  closed        unknown          reset
5900/tcp  closed        vnc              reset
5901/tcp  closed        vnc-1            reset
5981/tcp  closed        unknown          reset
8080/tcp  closed        http-proxy       reset
8192/tcp  closed        sophos           reset
8889/tcp  closed        ddi-tcp-2        reset
9300/tcp  closed        vrace            reset
17988/tcp closed        unknown          reset
17990/tcp closed        unknown          reset
50000/tcp closed        ibm-db2          reset
69/udp    open|filtered tftp             no-response
161/udp   closed        snmp             port-unreach
162/udp   closed        snmptrap         port-unreach
623/udp   open|filtered asf-rmcp         no-response
624/udp   closed        unknown          port-unreach
1188/udp  closed        hp-webadmin      port-unreach
1278/udp  closed        unknown          port-unreach
1279/udp  closed        dellwebadmin-2   port-unreach
1900/udp  open|filtered upnp             no-response
2606/udp  closed        unknown          port-unreach
2607/udp  closed        unknown          port-unreach
4995/udp  open|filtered unknown          no-response
5900/udp  open|filtered rfb              no-response
5901/udp  closed        unknown          port-unreach
MAC Address: 00:24:7B:A6:5A:36 (Actiontec Electronics)
Device type: general purpose
Running: MontaVista Linux 2.4.X
OS CPE: cpe:/o:montavista:linux:2.4
OS details: MontaVista embedded Linux 2.4.17
TCP/IP fingerprint:
OS:SCAN(V=6.01%E=4%D=4/16%OT=23%CT=22%CU=161%PV=Y%DS=1%DC=D%G=Y%M=00247B%TM
OS:=516D7FBC%P=i686-pc-linux-gnu)SEQ(SP=CD%GCD=1%ISR=D1%TI=Z%II=I%TS=7)OPS(
OS:O1=M5B4ST11NW0%O2=M5B4ST11NW0%O3=M5B4NNT11NW0%O4=M5B4ST11NW0%O5=M5B4ST11
OS:NW0%O6=M5B4ST11)WIN(W1=16A0%W2=16A0%W3=16A0%W4=16A0%W5=16A0%W6=16A0)ECN(
OS:R=Y%DF=Y%T=41%W=16D0%O=M5B4NNSNW0%CC=N%Q=)T1(R=Y%DF=Y%T=41%S=O%A=S+%F=AS
OS:%RD=0%Q=)T2(R=N)T3(R=N)T4(R=N)T5(R=Y%DF=Y%T=100%W=0%S=Z%A=S+%F=AR%O=%RD=
OS:0%Q=)T6(R=N)T7(R=N)U1(R=Y%DF=N%T=100%IPL=164%UN=0%RIPL=G%RID=G%RIPCK=G%R
OS:UCK=G%RUD=G)IE(R=Y%DFI=N%T=100%CD=S)

Uptime guess: 34.664 days (since Tue Mar 12 17:46:48 2013)
Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=205 (Good luck!)
IP ID Sequence Generation: All zeros
Service Info: Device: VoIP adapter

Nmap scan report for fierce.fish2.com (192.168.0.6)
Host is up, received arp-response (0.00022s latency).
Scanned at 2013-04-16 09:39:29 PDT for 221s
PORT      STATE  SERVICE          REASON       VERSION
22/tcp    open   ssh              syn-ack      OpenSSH 5.9 (protocol 2.0)
|_banner: SSH-2.0-OpenSSH_5.9
23/tcp    closed telnet           reset
80/tcp    closed http             reset
161/tcp   closed snmp             reset
162/tcp   closed snmptrap         reset
443/tcp   closed https            reset
555/tcp   closed dsf              reset
623/tcp   closed oob-ws-http      reset
1188/tcp  closed hp-webadmin      reset
1278/tcp  closed unknown          reset
1279/tcp  closed dellwebadmin-2   reset
2606/tcp  closed netmon           reset
2607/tcp  closed connection       reset
3002/tcp  closed exlm-agent       reset
3269/tcp  closed globalcatLDAPssl reset
3389/tcp  closed ms-wbt-server    reset
3668/tcp  closed unknown          reset
3669/tcp  closed casanswmgmt      reset
4988/tcp  closed unknown          reset
5120/tcp  closed unknown          reset
5123/tcp  closed unknown          reset
5869/tcp  closed unknown          reset
5900/tcp  closed vnc              reset
5901/tcp  closed vnc-1            reset
5981/tcp  closed unknown          reset
8080/tcp  closed http-proxy       reset
8192/tcp  closed sophos           reset
8889/tcp  closed ddi-tcp-2        reset
9300/tcp  closed vrace            reset
17988/tcp closed unknown          reset
17990/tcp closed unknown          reset
50000/tcp closed ibm-db2          reset
69/udp    closed tftp             port-unreach
161/udp   closed snmp             port-unreach
162/udp   closed snmptrap         port-unreach
623/udp   closed asf-rmcp         port-unreach
624/udp   closed unknown          port-unreach
1188/udp  closed hp-webadmin      port-unreach
1278/udp  closed unknown          port-unreach
1279/udp  closed dellwebadmin-2   port-unreach
1900/udp  closed upnp             port-unreach
2606/udp  closed unknown          port-unreach
2607/udp  closed unknown          port-unreach
4995/udp  closed unknown          port-unreach
5900/udp  closed rfb              port-unreach
5901/udp  closed unknown          port-unreach
MAC Address: C8:2A:14:0B:0B:BD (Apple)
No exact OS matches for host (If you know what OS is running on it, see http://nmap.org/submit/ ).
TCP/IP fingerprint:
OS:SCAN(V=6.01%E=4%D=4/16%OT=22%CT=23%CU=69%PV=Y%DS=1%DC=D%G=Y%M=C82A14%TM=
OS:516D7FBC%P=i686-pc-linux-gnu)SEQ(SP=FE%GCD=1%ISR=109%TI=RD%CI=RI%TS=A)SE
OS:Q(SP=FB%GCD=1%ISR=108%TI=RD%CI=RI%II=RI%TS=A)SEQ(SP=101%GCD=1%ISR=104%TI
OS:=RD%II=RI%TS=A)OPS(O1=M5B4NW4NNT11SLL%O2=M5B4NW4NNT11SLL%O3=M5B4NW4NNT11
OS:%O4=M5B4NW4NNT11SLL%O5=M5B4NW4NNT11SLL%O6=M5B4NNT11SLL)WIN(W1=FFFF%W2=FF
OS:FF%W3=FFFF%W4=FFFF%W5=FFFF%W6=FFFF)ECN(R=Y%DF=Y%T=41%W=FFFF%O=M5B4NW4SLL
OS:%CC=N%Q=)T1(R=Y%DF=Y%T=41%S=O%A=S+%F=AS%RD=0%Q=)T2(R=N)T3(R=N)T4(R=Y%DF=
OS:Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)T4(R=N)T5(R=Y%DF=N%T=41%W=0%S=Z%A=S+%F
OS:=AR%O=%RD=0%Q=)T6(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)T6(R=N)T7(R=N
OS:)U1(R=Y%DF=N%T=41%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=0%RUD=G)IE(R=Y%D
OS:FI=S%T=41%CD=S)

Uptime guess: 12.430 days (since Wed Apr  3 23:24:37 2013)
Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=259 (Good luck!)
IP ID Sequence Generation: Randomized

Nmap scan report for 192.168.0.8
Host is up, received arp-response (0.000097s latency).
Scanned at 2013-04-16 09:39:29 PDT for 236s
PORT      STATE         SERVICE          REASON       VERSION
22/tcp    open          ssh              syn-ack      OpenSSH 5.8p1-hpn13v11 (protocol 2.0)
|_banner: SSH-2.0-OpenSSH_5.8p1-hpn13v11
23/tcp    closed        telnet           reset
80/tcp    open          http             syn-ack      Apache httpd 2.2.23 ((Unix) mod_ssl/2.2.23 OpenSSL/1.0.1d-fips PHP/5.3.21)
161/tcp   open          snmp?            syn-ack
162/tcp   closed        snmptrap         reset
443/tcp   open          ssl/http         syn-ack      Apache httpd 2.2.23 ((Unix) mod_ssl/2.2.23 OpenSSL/1.0.1d-fips PHP/5.3.21)
555/tcp   closed        dsf              reset
623/tcp   closed        oob-ws-http      reset
1188/tcp  closed        hp-webadmin      reset
1278/tcp  closed        unknown          reset
1279/tcp  closed        dellwebadmin-2   reset
2606/tcp  closed        netmon           reset
2607/tcp  closed        connection       reset
3002/tcp  closed        exlm-agent       reset
3269/tcp  closed        globalcatLDAPssl reset
3389/tcp  closed        ms-wbt-server    reset
3668/tcp  closed        unknown          reset
3669/tcp  closed        casanswmgmt      reset
4988/tcp  closed        unknown          reset
5120/tcp  closed        unknown          reset
5123/tcp  closed        unknown          reset
5869/tcp  closed        unknown          reset
5900/tcp  closed        vnc              reset
5901/tcp  closed        vnc-1            reset
5981/tcp  closed        unknown          reset
8080/tcp  closed        http-proxy       reset
8192/tcp  closed        sophos           reset
8889/tcp  closed        ddi-tcp-2        reset
9300/tcp  closed        vrace            reset
17988/tcp closed        unknown          reset
17990/tcp closed        unknown          reset
50000/tcp closed        ibm-db2          reset
69/udp    closed        tftp             port-unreach
161/udp   open          snmp             udp-response net-snmp
162/udp   closed        snmptrap         port-unreach
623/udp   closed        asf-rmcp         port-unreach
624/udp   closed        unknown          port-unreach
1188/udp  closed        hp-webadmin      port-unreach
1278/udp  closed        unknown          port-unreach
1279/udp  closed        dellwebadmin-2   port-unreach
1900/udp  open|filtered upnp             no-response
2606/udp  closed        unknown          port-unreach
2607/udp  closed        unknown          port-unreach
4995/udp  closed        unknown          port-unreach
5900/udp  closed        rfb              port-unreach
5901/udp  closed        unknown          port-unreach
MAC Address: 00:11:32:16:65:42 (Synology Incorporated)
No exact OS matches for host (If you know what OS is running on it, see http://nmap.org/submit/ ).
TCP/IP fingerprint:
OS:SCAN(V=6.01%E=4%D=4/16%OT=22%CT=23%CU=69%PV=Y%DS=1%DC=D%G=Y%M=001132%TM=
OS:516D7FBC%P=i686-pc-linux-gnu)SEQ(SP=108%GCD=1%ISR=10C%TI=Z%CI=Z%II=I%TS=
OS:A)OPS(O1=M5B4ST11NW6%O2=M5B4ST11NW6%O3=M5B4NNT11NW6%O4=M5B4ST11NW6%O5=M5
OS:B4ST11NW6%O6=M5B4ST11)WIN(W1=3890%W2=3890%W3=3890%W4=3890%W5=3890%W6=389
OS:0)ECN(R=Y%DF=Y%T=41%W=3908%O=M5B4NNSNW6%CC=Y%Q=)T1(R=Y%DF=Y%T=41%S=O%A=S
OS:+%F=AS%RD=0%Q=)T2(R=N)T3(R=N)T4(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=
OS:)T5(R=Y%DF=Y%T=41%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)T6(R=Y%DF=Y%T=41%W=0%S=A%
OS:A=Z%F=R%O=%RD=0%Q=)T7(R=Y%DF=Y%T=41%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)U1(R=Y%
OS:DF=N%T=41%IPL=164%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)IE(R=Y%DFI=N%T=
OS:41%CD=S)

Uptime guess: 22.854 days (since Sun Mar 24 13:14:28 2013)
Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=264 (Good luck!)
IP ID Sequence Generation: All zeros

Nmap scan report for 192.168.0.9
Host is up, received arp-response (0.00011s latency).
Scanned at 2013-04-16 09:39:29 PDT for 231s
PORT      STATE         SERVICE          REASON       VERSION
22/tcp    open          ssh              syn-ack      OpenSSH 5.8p1-hpn13v11 (protocol 2.0)
|_banner: SSH-2.0-OpenSSH_5.8p1-hpn13v11
23/tcp    closed        telnet           reset
80/tcp    open          http             syn-ack      Apache httpd 2.2.23 ((Unix) mod_ssl/2.2.23 OpenSSL/1.0.1d-fips PHP/5.3.21)
161/tcp   open          snmp?            syn-ack
162/tcp   closed        snmptrap         reset
443/tcp   open          ssl/http         syn-ack      Apache httpd 2.2.23 ((Unix) mod_ssl/2.2.23 OpenSSL/1.0.1d-fips PHP/5.3.21)
555/tcp   closed        dsf              reset
623/tcp   closed        oob-ws-http      reset
1188/tcp  closed        hp-webadmin      reset
1278/tcp  closed        unknown          reset
1279/tcp  closed        dellwebadmin-2   reset
2606/tcp  closed        netmon           reset
2607/tcp  closed        connection       reset
3002/tcp  closed        exlm-agent       reset
3269/tcp  closed        globalcatLDAPssl reset
3389/tcp  closed        ms-wbt-server    reset
3668/tcp  closed        unknown          reset
3669/tcp  closed        casanswmgmt      reset
4988/tcp  closed        unknown          reset
5120/tcp  closed        unknown          reset
5123/tcp  closed        unknown          reset
5869/tcp  closed        unknown          reset
5900/tcp  closed        vnc              reset
5901/tcp  closed        vnc-1            reset
5981/tcp  closed        unknown          reset
8080/tcp  closed        http-proxy       reset
8192/tcp  closed        sophos           reset
8889/tcp  closed        ddi-tcp-2        reset
9300/tcp  closed        vrace            reset
17988/tcp closed        unknown          reset
17990/tcp closed        unknown          reset
50000/tcp closed        ibm-db2          reset
69/udp    closed        tftp             port-unreach
161/udp   open          snmp             udp-response net-snmp
162/udp   open|filtered snmptrap         no-response
623/udp   open|filtered asf-rmcp         no-response
624/udp   open|filtered unknown          no-response
1188/udp  closed        hp-webadmin      port-unreach
1278/udp  open|filtered unknown          no-response
1279/udp  open|filtered dellwebadmin-2   no-response
1900/udp  open|filtered upnp             no-response
2606/udp  open|filtered unknown          no-response
2607/udp  open|filtered unknown          no-response
4995/udp  open|filtered unknown          no-response
5900/udp  open|filtered rfb              no-response
5901/udp  closed        unknown          port-unreach
MAC Address: 00:11:32:16:65:42 (Synology Incorporated)
Device type: general purpose
Running: Linux 3.X
OS CPE: cpe:/o:linux:kernel:3
OS details: Linux 3.0 - 3.1
TCP/IP fingerprint:
OS:SCAN(V=6.01%E=4%D=4/16%OT=22%CT=23%CU=69%PV=Y%DS=1%DC=D%G=Y%M=001132%TM=
